classid;bugs
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;1
14;0
15;0
16;1
17;0
18;0
19;1
20;1
21;0
22;1
23;1
24;0
25;0
26;0
27;0
28;0
29;0
30;1
31;0
32;0
33;0
34;1
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;1
48;0
49;1
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;1
59;0
60;0
61;0
62;0
63;1
64;1
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;1
74;0
75;0
76;0
77;0
78;0
79;0
80;1
81;0
82;0
83;0
84;0
85;0
86;0
87;1
88;0
89;0
90;0
91;0
92;0
93;1
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;1
105;0
106;0
107;0
108;1
109;1
110;1
111;0
112;0
113;0
114;0
115;1
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;1
124;0
125;1
126;1
127;0
128;0
129;0
130;0
131;1
132;1
133;0
134;0
135;0
136;1
137;0
138;0
139;1
140;1
141;0
142;0
143;0
144;0
145;0
146;1
147;1
148;0
149;0
150;0
151;0
152;1
153;0
154;0
155;1
156;0
157;1
158;1
159;0
160;0
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;1
171;0
172;1
173;0
174;1
175;0
176;0
177;0
178;1
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;1
188;0
189;0
190;0
191;0
192;1
193;0
194;0
195;0
196;1
197;0
198;1
199;1
200;0
201;0
202;0
203;0
204;1
205;0
206;0
207;0
208;0
209;1
210;0
211;0
212;0
213;0
214;0
215;1
216;0
217;0
218;0
219;0
220;1
221;0
222;0
223;0
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;1
243;0
244;0
245;0
246;1
247;0
248;1
249;0
250;0
251;0
252;1
253;1
254;0
255;1
256;0
257;0
258;0
259;0
260;0
261;1
262;0
263;0
264;1
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;1
274;0
275;0
276;1
277;0
278;1
279;0
