classid;cbo;dit;fanIn;fanOut;lcom;noc;numberOfAttributes;numberOfAttributesInherited;numberOfLinesOfCode;numberOfMethods;numberOfMethodsInherited;numberOfPrivateAttributes;numberOfPrivateMethods;numberOfPublicAttributes;numberOfPublicMethods;rfc;wmc
1;1;1;1;0;0;0;2;0;4;1;8;0;0;2;1;1;1
2;23;2;1;22;820;0;7;416;673;41;8;0;2;7;1;174;115
3;2;1;1;1;1;0;12;0;16;2;8;0;0;12;2;4;2
4;6;4;2;4;78;0;4;96;87;13;88;2;0;0;3;46;23
5;11;3;2;9;105;0;9;119;250;15;40;0;0;9;13;50;64
6;4;3;3;1;6;1;3;3;9;4;17;0;0;1;3;5;3
7;6;2;3;4;105;0;5;95;95;15;68;3;0;0;6;51;25
8;8;2;4;4;15;0;6;0;42;6;23;6;0;0;5;14;10
9;5;7;1;4;3;0;0;397;42;3;124;0;0;0;3;22;14
10;12;3;4;8;78;0;16;143;387;13;40;6;0;10;10;125;93
11;1;2;1;0;136;0;15;2;53;17;41;1;0;1;17;18;19
12;4;2;3;1;3;0;2;0;14;3;15;0;0;2;2;4;4
13;63;3;36;33;351;2;30;391;624;27;42;0;1;26;25;172;148
14;1;1;1;1;6;1;1;0;20;4;8;0;0;1;3;5;6
15;1;2;1;0;1;2;0;5;0;2;19;0;0;0;2;2;0
16;36;2;18;23;190;2;12;3;1126;20;13;2;6;0;14;244;276
17;4;1;1;3;45;0;1;0;52;10;17;0;0;1;10;34;17
18;6;3;3;3;3;0;2;1;16;3;31;2;0;0;2;8;4
19;18;6;3;15;91;3;0;53;127;14;170;0;1;0;10;61;29
20;22;4;5;17;136;5;13;384;494;17;77;0;0;13;17;191;166
21;2;2;2;0;0;0;0;0;3;1;43;0;0;0;1;2;1
22;27;2;7;20;210;4;6;133;795;21;46;4;0;2;3;171;212
23;21;7;1;20;55;0;2;448;591;11;115;0;0;2;11;220;156
24;9;3;1;8;45;0;7;126;166;10;44;0;0;7;10;40;39
25;3;1;0;3;45;0;4;0;144;10;8;0;3;4;7;40;37
26;108;3;92;18;528;15;4;380;760;33;38;0;2;4;31;281;234
27;5;3;3;3;10;1;1;13;35;5;55;0;0;0;1;12;13
28;7;6;5;3;15;2;2;385;52;6;95;0;0;2;5;17;12
29;5;2;5;0;66;0;16;152;55;12;41;15;1;1;11;14;27
30;7;4;1;6;28;0;15;61;214;8;45;0;0;10;5;47;53
31;5;6;1;4;3;0;0;394;32;3;102;0;0;0;3;17;11
32;5;3;1;5;105;0;5;95;96;15;73;3;0;0;6;51;25
33;6;5;1;5;78;0;1;62;56;13;202;0;0;0;8;22;20
